strain	seq_tech	virus	Genotype	accession	date	region	country	province	city
hChikV/China/YN-PUMC-11562/2019|EPI_ISL_17455558	unknown	hChikV	III-Asian	EPI_ISL_17455558	2019-11-11	Asia	China	Yunnan	unknown
hChikV/China/YN-PUMC-11513/2019|EPI_ISL_17455559	unknown	hChikV	III-Asian	EPI_ISL_17455559	2019-11-11	Asia	China	Yunnan	unknown
hChikV/China/YN-PUMC-631/2019|EPI_ISL_17455560	unknown	hChikV	III-Asian	EPI_ISL_17455560	2019-10-29	Asia	China	Yunnan	unknown
hChikV/China/YN-PUMC-1156/2019|EPI_ISL_17455561	unknown	hChikV	III-Asian	EPI_ISL_17455561	2019-11-11	Asia	China	Yunnan	unknown
hChikV/China/YN-PUMC-625/2019|EPI_ISL_17455562	unknown	hChikV	III-Asian	EPI_ISL_17455562	2019-10-29	Asia	China	Yunnan	unknown
hChikV/Pakistan/WIV-03/2017|EPI_ISL_17455568	Sanger	hChikV	II-ECSA	EPI_ISL_17455568	2017-07-01	Asia	Pakistan	unknown	unknown
hChikV/Thailand/CU-BK1049/2019|EPI_ISL_17455578	Sanger	hChikV	II-ECSA	EPI_ISL_17455578	2019-04-14	Asia	Thailand	Ranong	unknown
hChikV/Thailand/CU-BK2714/2020|EPI_ISL_17455580	Sanger	hChikV	II-ECSA	EPI_ISL_17455580	2020-01-17	Asia	Thailand	Samut Prakan	unknown
hChikV/Thailand/CU-BK2821/2020|EPI_ISL_17455581	Sanger	hChikV	II-ECSA	EPI_ISL_17455581	2020-02-05	Asia	Thailand	Bangkok	unknown
hChikV/Thailand/CU-397/2013|EPI_ISL_17455582	Sanger	hChikV	II-ECSA	EPI_ISL_17455582	2013-07-01	Asia	Thailand	unknown	unknown
hChikV/Thailand/CU-435/2013|EPI_ISL_17455586	Sanger	hChikV	II-ECSA	EPI_ISL_17455586	2013-07-01	Asia	Thailand	unknown	unknown
hChikV/Thailand/CU-683/2009|EPI_ISL_17455591	unknown	hChikV	II-ECSA	EPI_ISL_17455591	2009-07-27	Asia	Thailand	unknown	unknown
hChikV/Thailand/CU-009/2009|EPI_ISL_17455598	unknown	hChikV	II-ECSA	EPI_ISL_17455598	2009-09-04	Asia	Thailand	unknown	unknown
hChikV/Thailand/CU-00010/2008|EPI_ISL_17455599	unknown	hChikV	II-ECSA	EPI_ISL_17455599	2008-10-21	Asia	Thailand	unknown	unknown
hChikV/Thailand/CU-00028/2020|EPI_ISL_17455604	Sanger	hChikV	II-ECSA	EPI_ISL_17455604	2020-10-01	Asia	Thailand	unknown	unknown
hChikV/Thailand/CU-409/2013|EPI_ISL_17455613	Sanger	hChikV	II-ECSA	EPI_ISL_17455613	2013-07-01	Asia	Thailand	unknown	unknown
