strain	seq_tech	virus	Genotype	accession	date	region	country	province	city
hChikV/USA/un-JCVI-dc343154/2014|EPI_ISL_17458609	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458609	2014-09-22	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-e03cb020/2014|EPI_ISL_17458610	Illumina	hChikV	III-Asian	EPI_ISL_17458610	2014-07-15	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-cda2fbf6/2014|EPI_ISL_17458611	Illumina	hChikV	III-Asian	EPI_ISL_17458611	2014-09-05	North America	USA	unknown	unknown
hChikV/Nicaragua/JCVI-00109_d712e228/2015|EPI_ISL_17458612	Illumina	hChikV	III-Asian	EPI_ISL_17458612	2015-09-08	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00110_f97b03ed/2015|EPI_ISL_17458613	Illumina	hChikV	III-Asian	EPI_ISL_17458613	2015-07-15	North America	Nicaragua	Managua	unknown
hChikV/USA/un-JCVI-2d9af53d/2014|EPI_ISL_17458614	Illumina	hChikV	III-Asian	EPI_ISL_17458614	2014-05-08	North America	USA	unknown	unknown
hChikV/Malaysia/JCVI-f665ab4b/2009|EPI_ISL_17458615	Ion Torrent; Illumina	hChikV	II-ECSA	EPI_ISL_17458615	2009-07-01	Asia	Malaysia	unknown	unknown
hChikV/Nicaragua/JCVI-00155_2ee13574/2015|EPI_ISL_17458617	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458617	2015-09-03	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00154_724b29f4/2015|EPI_ISL_17458618	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458618	2015-08-05	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00152_82db7ed7/2015|EPI_ISL_17458619	Illumina	hChikV	III-Asian	EPI_ISL_17458619	2015-01-15	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00164_fc9463b7/2015|EPI_ISL_17458620	Illumina	hChikV	III-Asian	EPI_ISL_17458620	2015-08-06	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00153_ab5a217b/2014|EPI_ISL_17458621	Illumina	hChikV	III-Asian	EPI_ISL_17458621	2014-11-25	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00162_761f0701/2014|EPI_ISL_17458622	Illumina	hChikV	III-Asian	EPI_ISL_17458622	2014-12-03	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00173_f6ed7b76/2015|EPI_ISL_17458623	Illumina	hChikV	III-Asian	EPI_ISL_17458623	2015-11-28	North America	Nicaragua	Carazo	unknown
hChikV/Nicaragua/JCVI-00157_89cfd88a/2014|EPI_ISL_17458624	Illumina	hChikV	III-Asian	EPI_ISL_17458624	2014-11-05	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00143_078f1467/2014|EPI_ISL_17458625	Illumina	hChikV	III-Asian	EPI_ISL_17458625	2014-10-28	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00163_955971d8/2015|EPI_ISL_17458627	Illumina	hChikV	III-Asian	EPI_ISL_17458627	2015-08-05	North America	Nicaragua	Managua	unknown
hChikV/USA/un-JCVI-abb8d4d6/2014|EPI_ISL_17458628	Illumina	hChikV	III-Asian	EPI_ISL_17458628	2014-08-08	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-83ec9951/2014|EPI_ISL_17458629	Illumina	hChikV	III-Asian	EPI_ISL_17458629	2014-08-09	North America	USA	unknown	unknown
hChikV/Nicaragua/JCVI-00145_3dd4a0c9/2015|EPI_ISL_17458630	Illumina	hChikV	III-Asian	EPI_ISL_17458630	2015-08-04	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00172_dcf76db6/2014|EPI_ISL_17458631	Illumina	hChikV	III-Asian	EPI_ISL_17458631	2014-11-14	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00149_826001dc/2015|EPI_ISL_17458632	Illumina	hChikV	III-Asian	EPI_ISL_17458632	2015-10-12	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00150_0dfe65b1/2014|EPI_ISL_17458633	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458633	2014-11-19	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00151_642967b3/2015|EPI_ISL_17458634	Illumina	hChikV	III-Asian	EPI_ISL_17458634	2015-08-18	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00160_4049d5be/2015|EPI_ISL_17458635	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458635	2015-09-05	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00161_a898952e/2015|EPI_ISL_17458636	Illumina	hChikV	III-Asian	EPI_ISL_17458636	2015-11-25	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00147_bc5909f4/2015|EPI_ISL_17458637	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458637	2015-10-03	North America	Nicaragua	Managua	unknown
hChikV/USA/un-JCVI-0854c87d/2014|EPI_ISL_17458638	Illumina	hChikV	III-Asian	EPI_ISL_17458638	2014-06-14	North America	USA	unknown	unknown
hChikV/Nicaragua/JCVI-00148_2bfad583/2015|EPI_ISL_17458639	Illumina	hChikV	III-Asian	EPI_ISL_17458639	2015-10-02	North America	Nicaragua	Managua	unknown
hChikV/USA/un-JCVI-3b41eed5/2014|EPI_ISL_17458640	Illumina	hChikV	III-Asian	EPI_ISL_17458640	2014-08-28	North America	USA	unknown	unknown
hChikV/Nicaragua/JCVI-00158_41090f55/2015|EPI_ISL_17458641	Illumina	hChikV	III-Asian	EPI_ISL_17458641	2015-08-17	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00159_744050c4/2014|EPI_ISL_17458642	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458642	2014-10-28	North America	Nicaragua	Managua	unknown
hChikV/USA/un-JCVI-607b3c28/2014|EPI_ISL_17458643	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458643	2014-09-17	North America	USA	unknown	unknown
hChikV/Nicaragua/JCVI-00140_59fa9181/2015|EPI_ISL_17458644	Illumina	hChikV	III-Asian	EPI_ISL_17458644	2015-10-15	North America	Nicaragua	Managua	unknown
hChikV/USA/un-JCVI-43f89a51/2014|EPI_ISL_17458645	Illumina	hChikV	III-Asian	EPI_ISL_17458645	2014-07-21	North America	USA	unknown	unknown
hChikV/Nicaragua/JCVI-00120_1db4c571/2016|EPI_ISL_17458646	Illumina	hChikV	III-Asian	EPI_ISL_17458646	2016-01-08	North America	Nicaragua	unknown	unknown
hChikV/Nicaragua/JCVI-00119_b7f875ed/2015|EPI_ISL_17458647	Illumina	hChikV	III-Asian	EPI_ISL_17458647	2015-08-04	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00118_6cba9bc2/2015|EPI_ISL_17458648	Illumina	hChikV	III-Asian	EPI_ISL_17458648	2015-08-03	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00117_9ada9062/2015|EPI_ISL_17458649	Illumina	hChikV	III-Asian	EPI_ISL_17458649	2015-08-15	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00116_2fc6024b/2015|EPI_ISL_17458650	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458650	2015-08-13	North America	Nicaragua	Managua	unknown
hChikV/USA/un-JCVI-30a8be72/2014|EPI_ISL_17458651	Illumina	hChikV	III-Asian	EPI_ISL_17458651	2014-10-05	North America	USA	unknown	unknown
hChikV/Nicaragua/JCVI-00121_fc79ffa6/2015|EPI_ISL_17458652	Illumina	hChikV	III-Asian	EPI_ISL_17458652	2015-01-26	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00115_f59a6c0f/2015|EPI_ISL_17458653	Illumina	hChikV	III-Asian	EPI_ISL_17458653	2015-12-14	North America	Nicaragua	Carazo	unknown
hChikV/Nicaragua/JCVI-00112_c3cd900c/2015|EPI_ISL_17458654	Illumina	hChikV	III-Asian	EPI_ISL_17458654	2015-01-28	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00111_caa861c7/2014|EPI_ISL_17458655	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458655	2014-12-02	North America	Nicaragua	Managua	unknown
hChikV/USA/un-JCVI-f1a76920/2014|EPI_ISL_17458656	Illumina	hChikV	III-Asian	EPI_ISL_17458656	2014-07-21	North America	USA	unknown	unknown
hChikV/Nicaragua/JCVI-00102_5aa2b4be/2015|EPI_ISL_17458657	Illumina	hChikV	III-Asian	EPI_ISL_17458657	2015-10-20	North America	Nicaragua	unknown	unknown
hChikV/Nicaragua/JCVI-00104_7184fa01/2015|EPI_ISL_17458658	Illumina	hChikV	III-Asian	EPI_ISL_17458658	2015-01-26	North America	Nicaragua	Managua	unknown
hChikV/USA/un-JCVI-e8afcbb7/2014|EPI_ISL_17458659	Illumina	hChikV	III-Asian	EPI_ISL_17458659	2014-07-04	North America	USA	unknown	unknown
hChikV/Nicaragua/JCVI-00165_cd55710b/2015|EPI_ISL_17458660	Illumina	hChikV	III-Asian	EPI_ISL_17458660	2015-10-01	North America	Nicaragua	unknown	unknown
hChikV/Nicaragua/JCVI-00170_d7cc1b4e/2015|EPI_ISL_17458661	Illumina	hChikV	III-Asian	EPI_ISL_17458661	2015-08-12	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00168_724d172a/2015|EPI_ISL_17458663	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458663	2015-09-03	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00169_512c7f2c/2015|EPI_ISL_17458664	Illumina	hChikV	III-Asian	EPI_ISL_17458664	2015-12-10	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00171_b97be40e/2015|EPI_ISL_17458665	Illumina	hChikV	III-Asian	EPI_ISL_17458665	2015-01-23	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00166_9386cc2b/2015|EPI_ISL_17458666	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458666	2015-09-07	North America	Nicaragua	Managua	unknown
hChikV/USA/un-JCVI-499ce57f/2014|EPI_ISL_17458667	Illumina	hChikV	III-Asian	EPI_ISL_17458667	2014-09-04	North America	USA	unknown	unknown
hChikV/Nicaragua/JCVI-00098_beae8a1a/2015|EPI_ISL_17458668	Illumina	hChikV	III-Asian	EPI_ISL_17458668	2015-11-26	North America	Nicaragua	Managua	unknown
hChikV/USA/un-JCVI-2ec5656d/2014|EPI_ISL_17458669	Illumina	hChikV	III-Asian	EPI_ISL_17458669	2014-10-21	North America	USA	unknown	unknown
hChikV/Nicaragua/JCVI-00182_b396342b/2015|EPI_ISL_17458670	Illumina	hChikV	III-Asian	EPI_ISL_17458670	2015-09-22	North America	Nicaragua	Matagalpa	unknown
hChikV/Nicaragua/JCVI-00185_404ebf70/2015|EPI_ISL_17458673	Illumina	hChikV	III-Asian	EPI_ISL_17458673	2015-11-30	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00193_a8cc474a/2015|EPI_ISL_17458674	Illumina	hChikV	III-Asian	EPI_ISL_17458674	2015-11-21	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00192_925802c7/2014|EPI_ISL_17458675	Illumina	hChikV	III-Asian	EPI_ISL_17458675	2014-12-03	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00174_925adf76/2015|EPI_ISL_17458676	Illumina	hChikV	III-Asian	EPI_ISL_17458676	2015-11-28	North America	Nicaragua	Carazo	unknown
hChikV/Nicaragua/JCVI-00139_cc186ee0/2015|EPI_ISL_17458677	Illumina	hChikV	III-Asian	EPI_ISL_17458677	2015-10-07	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00128_173422de/2015|EPI_ISL_17458678	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458678	2015-09-06	North America	Nicaragua	Managua	unknown
hChikV/USA/un-JCVI-823b2a6b/2014|EPI_ISL_17458679	Illumina	hChikV	III-Asian	EPI_ISL_17458679	2014-08-22	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-b784a2ff/1995|EPI_ISL_17458681	Illumina	hChikV	II-ECSA	EPI_ISL_17458681	1995-07-01	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-25df2b79/2014|EPI_ISL_17458682	Illumina	hChikV	III-Asian	EPI_ISL_17458682	2014-07-01	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-1a911e00/2014|EPI_ISL_17458683	Illumina	hChikV	III-Asian	EPI_ISL_17458683	2014-07-01	North America	USA	unknown	unknown
hChikV/Reunion/JCVI-ebc427a4/2006|EPI_ISL_17458684	Illumina	hChikV	II-ECSA	EPI_ISL_17458684	2006-07-01	Africa	Reunion	unknown	unknown
hChikV/Sri Lanka/JCVI-57f2f4cb/2008|EPI_ISL_17458685	Illumina	hChikV	II-ECSA	EPI_ISL_17458685	2008-07-01	Asia	Sri Lanka	unknown	unknown
hChikV/USA/un-JCVI-da563b09/2014|EPI_ISL_17458686	Illumina	hChikV	III-Asian	EPI_ISL_17458686	2014-07-01	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-211ec6b8/2006|EPI_ISL_17458687	Illumina	hChikV	II-ECSA	EPI_ISL_17458687	2006-07-01	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-1c225251/2006|EPI_ISL_17458688	Illumina	hChikV	II-ECSA	EPI_ISL_17458688	2006-07-01	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-a9146294/2014|EPI_ISL_17458689	Illumina	hChikV	III-Asian	EPI_ISL_17458689	2014-07-01	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-4b553486/2014|EPI_ISL_17458690	Illumina	hChikV	III-Asian	EPI_ISL_17458690	2014-07-01	North America	USA	unknown	unknown
hChikV/Nicaragua/JCVI-00181_5c29ae48/2015|EPI_ISL_17458691	Illumina	hChikV	III-Asian	EPI_ISL_17458691	2015-12-02	North America	Nicaragua	Masaya	unknown
hChikV/USA/un-JCVI-07e029a8/2014|EPI_ISL_17458692	Illumina	hChikV	III-Asian	EPI_ISL_17458692	2014-05-13	North America	USA	unknown	unknown
hChikV/Nicaragua/JCVI-00180_001ddc79/2015|EPI_ISL_17458693	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458693	2015-08-03	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00178_7fb1ee0f/2015|EPI_ISL_17458694	Illumina	hChikV	III-Asian	EPI_ISL_17458694	2015-09-22	North America	Nicaragua	Masaya	unknown
hChikV/Nicaragua/JCVI-00186_bfee47f6/2014|EPI_ISL_17458695	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458695	2014-12-11	North America	Nicaragua	Managua	unknown
hChikV/Cameroon/JCVI-79ebaf27/2006|EPI_ISL_17458696	Ion Torrent; Illumina	hChikV	II-ECSA	EPI_ISL_17458696	2006-07-01	Africa	Cameroon	unknown	unknown
hChikV/USA/un-JCVI-bb182c57/2014|EPI_ISL_17458697	Illumina	hChikV	III-Asian	EPI_ISL_17458697	2014-06-15	North America	USA	unknown	unknown
hChikV/Nicaragua/JCVI-00194_773db941/2015|EPI_ISL_17458698	Illumina	hChikV	III-Asian	EPI_ISL_17458698	2015-10-09	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00195_6f02ff0c/2015|EPI_ISL_17458699	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458699	2015-08-05	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00187_69dc0d65/2014|EPI_ISL_17458700	Illumina	hChikV	III-Asian	EPI_ISL_17458700	2014-11-27	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00196_b48f68fb/2014|EPI_ISL_17458701	Illumina	hChikV	III-Asian	EPI_ISL_17458701	2014-11-07	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00198_40186bee/2015|EPI_ISL_17458702	Illumina	hChikV	III-Asian	EPI_ISL_17458702	2015-08-13	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00199_2df6d6ff/2015|EPI_ISL_17458703	Illumina	hChikV	III-Asian	EPI_ISL_17458703	2015-12-26	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00200_cce7f8a5/2015|EPI_ISL_17458704	Illumina	hChikV	III-Asian	EPI_ISL_17458704	2015-12-19	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00201_5039ef69/2015|EPI_ISL_17458705	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458705	2015-08-06	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00202_ca6bc82c/2015|EPI_ISL_17458706	Illumina	hChikV	III-Asian	EPI_ISL_17458706	2015-01-19	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00203_e9da718c/2015|EPI_ISL_17458707	Illumina	hChikV	III-Asian	EPI_ISL_17458707	2015-08-05	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00197_4ad1ce3d/2015|EPI_ISL_17458708	Illumina	hChikV	III-Asian	EPI_ISL_17458708	2015-11-18	North America	Nicaragua	unknown	unknown
hChikV/Nicaragua/JCVI-00188_2f1d2114/2015|EPI_ISL_17458709	Illumina	hChikV	III-Asian	EPI_ISL_17458709	2015-08-13	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00189_f9ed0813/2015|EPI_ISL_17458710	Illumina	hChikV	III-Asian	EPI_ISL_17458710	2015-09-16	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00191_cdc26f56/2014|EPI_ISL_17458711	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458711	2014-11-27	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00141_fa2077a2/2015|EPI_ISL_17458712	Illumina	hChikV	III-Asian	EPI_ISL_17458712	2015-02-18	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00190_bd8ae2e5/2015|EPI_ISL_17458713	Illumina	hChikV	III-Asian	EPI_ISL_17458713	2015-11-04	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00176_b1c447e9/2015|EPI_ISL_17458714	Illumina	hChikV	III-Asian	EPI_ISL_17458714	2015-11-06	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00177_e173050c/2015|EPI_ISL_17458715	Illumina	hChikV	III-Asian	EPI_ISL_17458715	2015-09-03	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00179_4dcb87a4/2015|EPI_ISL_17458716	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458716	2015-09-05	North America	Nicaragua	Managua	unknown
hChikV/USA/un-JCVI-648aa6ed/2014|EPI_ISL_17458717	Illumina	hChikV	III-Asian	EPI_ISL_17458717	2014-09-05	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-5f6cc329/2014|EPI_ISL_17458718	Illumina	hChikV	III-Asian	EPI_ISL_17458718	2014-08-16	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-406eb51f/2014|EPI_ISL_17458719	Illumina	hChikV	III-Asian	EPI_ISL_17458719	2014-07-02	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-279b5519/2014|EPI_ISL_17458720	Illumina	hChikV	III-Asian	EPI_ISL_17458720	2014-06-04	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-bc34db38/2014|EPI_ISL_17458721	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458721	2014-10-22	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-2b97cc86/2014|EPI_ISL_17458722	Illumina	hChikV	III-Asian	EPI_ISL_17458722	2014-12-06	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-4d0ed5cd/2014|EPI_ISL_17458723	Illumina	hChikV	III-Asian	EPI_ISL_17458723	2014-06-04	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-3d891ef4/2014|EPI_ISL_17458724	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458724	2014-10-08	North America	USA	unknown	unknown
hChikV/Nicaragua/JCVI-00204/2015|EPI_ISL_17458725	Illumina	hChikV	III-Asian	EPI_ISL_17458725	2015-01-21	North America	Nicaragua	Managua	unknown
hChikV/USA/un-JCVI-41527c77/2014|EPI_ISL_17458726	Illumina	hChikV	III-Asian	EPI_ISL_17458726	2014-10-19	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-f510aa8a/2014|EPI_ISL_17458727	Illumina	hChikV	III-Asian	EPI_ISL_17458727	2014-10-24	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-92554390/2015|EPI_ISL_17458728	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458728	2015-07-14	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-95b1439b/2014|EPI_ISL_17458729	Illumina	hChikV	III-Asian	EPI_ISL_17458729	2014-10-02	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-8899ea4d/2014|EPI_ISL_17458730	Illumina	hChikV	III-Asian	EPI_ISL_17458730	2014-10-14	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-c27aa2d0/2014|EPI_ISL_17458731	Illumina	hChikV	III-Asian	EPI_ISL_17458731	2014-08-20	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-17e9f002/2014|EPI_ISL_17458732	Illumina	hChikV	III-Asian	EPI_ISL_17458732	2014-09-24	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-da8d1afd/2014|EPI_ISL_17458733	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458733	2014-11-25	North America	USA	unknown	unknown
hChikV/Thailand/JCVI-cd85548f/1988|EPI_ISL_17458734	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458734	1988-07-01	Asia	Thailand	unknown	unknown
hChikV/USA/un-JCVI-b0c22335/2014|EPI_ISL_17458735	Illumina	hChikV	III-Asian	EPI_ISL_17458735	2014-06-04	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-cb4fd804/2014|EPI_ISL_17458736	Illumina	hChikV	III-Asian	EPI_ISL_17458736	2014-10-21	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-34abb47a/2014|EPI_ISL_17458737	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458737	2014-10-13	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-a423296c/2014|EPI_ISL_17458738	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458738	2014-09-16	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-e506b22d/2014|EPI_ISL_17458739	Illumina	hChikV	III-Asian	EPI_ISL_17458739	2014-10-19	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-78ae1c99/2014|EPI_ISL_17458740	Illumina	hChikV	III-Asian	EPI_ISL_17458740	2014-05-07	North America	USA	unknown	unknown
hChikV/Nicaragua/JCVI-00205_f4b567e2/2015|EPI_ISL_17458741	Illumina	hChikV	III-Asian	EPI_ISL_17458741	2015-01-15	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00146_f28c2be9/2015|EPI_ISL_17458742	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458742	2015-10-10	North America	Nicaragua	Managua	unknown
hChikV/Nicaragua/JCVI-00183_3949af1a/2015|EPI_ISL_17458743	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458743	2015-09-06	North America	Nicaragua	Managua	unknown
hChikV/USA/un-JCVI-33d57140/2014|EPI_ISL_17458744	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458744	2014-08-05	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-0ae09012/2014|EPI_ISL_17458745	Illumina	hChikV	III-Asian	EPI_ISL_17458745	2014-10-03	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-9d91abc9/2014|EPI_ISL_17458746	Illumina	hChikV	III-Asian	EPI_ISL_17458746	2014-08-20	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-59738d91/2014|EPI_ISL_17458747	Illumina	hChikV	III-Asian	EPI_ISL_17458747	2014-12-01	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-e994ff2a/2014|EPI_ISL_17458748	Illumina	hChikV	III-Asian	EPI_ISL_17458748	2014-05-24	North America	USA	unknown	unknown
hChikV/Nicaragua/JCVI-00127_5e58700f/2015|EPI_ISL_17458749	Illumina	hChikV	III-Asian	EPI_ISL_17458749	2015-08-13	North America	Nicaragua	Managua	unknown
hChikV/USA/un-JCVI-8b36795a/2014|EPI_ISL_17458750	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458750	2014-08-25	North America	USA	unknown	unknown
hChikV/Italy/un-JCVI-ce0fef39/2007|EPI_ISL_17458751	Ion Torrent; Illumina	hChikV	II-ECSA	EPI_ISL_17458751	2007-07-01	Europe	Italy	unknown	unknown
hChikV/USA/un-JCVI-85e6f567/2014|EPI_ISL_17458753	Illumina	hChikV	III-Asian	EPI_ISL_17458753	2014-06-24	North America	USA	unknown	unknown
hChikV/Guadeloupe/JCVI-26237466/2014|EPI_ISL_17458754	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458754	2014-01-05	North America	Guadeloupe	unknown	unknown
hChikV/Italy/un-JCVI-8e7c1b66/2007|EPI_ISL_17458755	Ion Torrent; Illumina	hChikV	II-ECSA	EPI_ISL_17458755	2007-07-01	Europe	Italy	unknown	unknown
hChikV/Saint Martin/JCVI-67358958/2013|EPI_ISL_17458756	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458756	2013-07-01	North America	Saint Martin	unknown	unknown
hChikV/Thailand/JCVI-79674325/1996|EPI_ISL_17458757	Illumina	hChikV	III-Asian	EPI_ISL_17458757	1996-07-01	Asia	Thailand	unknown	unknown
hChikV/USA/un-JCVI-a631dfa2/2014|EPI_ISL_17458759	Illumina	hChikV	III-Asian	EPI_ISL_17458759	2014-12-10	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-e1894a2b/2014|EPI_ISL_17458760	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458760	2014-05-15	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-d0066421/2014|EPI_ISL_17458762	Illumina	hChikV	III-Asian	EPI_ISL_17458762	2014-06-25	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-e8da1488/2015|EPI_ISL_17458763	Illumina	hChikV	III-Asian	EPI_ISL_17458763	2015-07-24	North America	USA	unknown	unknown
hChikV/USA/un-JCVI-9f7f2686/2014|EPI_ISL_17458764	Illumina	hChikV	III-Asian	EPI_ISL_17458764	2014-06-09	North America	USA	unknown	unknown
hChikV/French Guiana/JCVI-34fe4769/2014|EPI_ISL_17458765	Ion Torrent; Illumina	hChikV	III-Asian	EPI_ISL_17458765	2014-01-21	South America	French Guiana	unknown	unknown
hChikV/USA/un-JCVI-9d55e844/2014|EPI_ISL_17458766	Illumina	hChikV	III-Asian	EPI_ISL_17458766	2014-05-15	North America	USA	unknown	unknown
hChikV/India/un-JHU_daff9fb6/2014|EPI_ISL_17458769	Sanger	hChikV	II-ECSA	EPI_ISL_17458769	2014-07-08	Asia	India	unknown	unknown
hChikV/India/un-JHU-7b0f822d/2015|EPI_ISL_17458770	Sanger	hChikV	II-ECSA	EPI_ISL_17458770	2015-09-22	Asia	India	unknown	unknown
